user_id,avg_memory,wall_clock,system_time,blanks,avg_RAM,language,cloc,nbr_file_in,compiled,swap_main_memory,exit_code,comments,nbr_file_out,nbr_page_faults,exe_size,compiler_version,max_RAM,user_time
Bubris,0,0.14,0.00,13,0,C++,77,0,0,0,0,2,0,0,71032,-,2796,0.13
BudAlNik,0,0.05,0.00,116,0,C++,84,0,0,0,0,5,0,0,57064,-,2716,0.04
Burunduk1,0,0.04,0.00,60,0,C++,45,0,0,0,0,3,0,0,73808,-,2980,0.03
Capp,0,0.37,0.00,18,0,Python,86,8,0,0,0,12,0,0,2232,2.7,18796,0.37
CaseyRoberts711,0,0.14,0.00,29,0,C++,135,0,0,0,0,48,0,0,107936,-,4376,0.13
CatalinT,0,0.04,0.00,49,0,C++,180,0,0,0,0,27,0,0,99192,-,2920,0.04
Chendy,0,0.00,0.00,82,0,C++,78,0,0,0,0,0,0,0,38992,-,2644,0.00
Chriky,-,-,-,4,-,Python,10,-,0,-,1,0,-,-,882,2.7,-,-
CodeGreg,0,0.00,0.00,32,0,C++,138,0,1,0,127,14,0,0,-,-,1344,0.00
CodeJelly,0,0.33,0.02,16,0,Java,79,0,0,0,0,4,64,0,1901,-,61160,0.32
Curs0r,0,0.23,0.00,207,0,C++,173,0,0,0,0,2,0,0,87944,-,6028,0.23
DAle,0,0.01,0.01,102,0,C++,82,0,0,0,0,0,0,0,85880,-,2304,0.00
DBZX,-,-,-,238,-,C++,180,-,1,-,-1,12,-,-,-,-,-,-
DEGwer,0,0.00,0.00,94,0,C++,95,0,0,0,0,0,0,0,72272,-,2692,0.00
DKolodzey,0,0.05,0.00,4,0,C++,51,0,0,0,0,0,0,0,72496,-,2700,0.04
DamianS,0,0.08,0.00,150,0,C++,116,0,0,0,0,0,0,0,107104,-,2792,0.08
DaniJVaz,0,0.11,0.00,29,0,C++,90,0,0,0,0,0,0,0,81480,-,2652,0.11
Dankaati,0,0.00,0.00,75,0,C++,63,0,0,0,0,0,0,0,41240,-,3500,0.00
DarinTay,0,0.21,0.00,21,0,C++,137,0,0,0,0,2,0,0,70088,-,18744,0.20
Darksun,0,0.06,0.00,105,0,C++,71,0,0,0,0,27,0,0,50680,-,2796,0.06
Darsein,0,0.08,0.00,16,0,C++,108,0,0,0,0,0,0,0,92920,-,2668,0.08
Delfad0r,0,0.06,0.00,4,0,C++,50,0,0,0,0,0,0,0,66680,-,2828,0.06
Dembel,0,0.04,0.00,11,0,C++,79,0,0,0,0,0,0,0,66368,-,2772,0.04
Desliner,-,-,-,22,-,Java,144,-,1,-,-1,35,-,-,-,-,-,-
Dewep,-,-,-,4,-,Python,27,-,0,-,-15,4,-,-,1102,3.5,-,-
Diego93,0,0.41,0.02,5,0,Java,50,0,0,0,0,18,72,0,2023,-,71476,0.44
DonaldDuck,0,0.40,0.00,16,0,C++,128,0,0,0,0,9,0,0,74544,-,7500,0.39
EMarci,0,0.00,0.00,112,0,C++,79,0,1,0,127,3,0,0,-,-,1436,0.00
EdvardD,0,0.04,0.00,26,0,C++,99,0,0,0,0,6,0,0,58528,-,2868,0.04
EgorKulikov,-,-,-,172,-,Java,987,-,1,-,-1,7,-,-,-,-,-,-
Eminenz,0,0.05,0.00,30,0,Java,163,0,0,0,1,12,64,0,3842,-,21736,0.04
Enchom,0,0.00,0.00,225,0,C++,136,0,0,0,0,1,0,0,44312,-,2692,0.00
Endagorion,0,0.11,0.00,9,0,C++,61,0,0,0,0,1,0,0,55368,-,2796,0.05
Eragon77,0,0.13,0.00,5,0,C++,85,0,0,0,0,0,0,0,57536,-,2972,0.11
EricStansifer,0,0.01,0.00,28,0,Python,113,8,0,0,0,2,0,0,2801,2.7,6360,0.00
Erop,0,0.00,0.00,92,0,C++,75,0,0,0,0,0,0,0,52256,-,2368,0.00
Fcdkbear,0,0.00,0.00,9,0,C++,128,0,0,0,0,0,0,0,65808,-,2648,0.00
FerranAlet,0,0.00,0.00,102,0,C++,123,0,0,0,134,9,0,0,126504,-,2532,0.00
Financier,0,0.06,0.00,9,0,C++,33,0,0,0,0,0,0,0,68992,-,2768,0.05
Fixman,0,0.34,0.00,22,0,C++,101,0,0,0,0,1,0,0,136192,-,2996,0.33
FreeTShirt,-,-,-,3,-,Python,28,-,0,-,1,0,-,-,1148,2.7,-,-
FrozenWinters,0,0.13,0.02,10,0,C++,92,0,0,0,0,5,1584,0,165704,-,2688,0.10
Furko,0,4.82,3.15,2,0,C++,100,0,0,0,0,0,137232,0,55072,-,10208,1.15
GGed,0,0.04,0.00,71,0,C++,53,0,0,0,0,0,0,0,39168,-,2612,0.04
Giove,0,1.62,0.01,14,0,Python,32,8,0,0,0,1,0,0,1449,2.7,31600,1.60
GordeevAlex,0,0.04,0.00,161,0,C++,115,0,0,0,0,2,0,0,53184,-,2796,0.03
Gullesnuffs,0,2.19,0.00,19,0,C++,144,0,0,0,0,1,0,0,118072,-,2820,2.16
Gustavostor,0,0.07,0.00,24,0,C++,127,0,0,0,0,0,0,0,44432,-,4256,0.06
HMK,0,0.04,0.00,32,0,Java,321,0,0,0,1,17,64,0,5655,-,21608,0.04
HellKitsune123,0,0.00,0.00,92,0,C++,80,0,0,0,0,0,0,0,55368,-,2736,0.00
HexTree,0,0.00,0.00,11,0,Python,85,0,0,0,2,12,0,0,-,2.7,6200,0.00
HiltonLange,-,-,-,39,-,C#,247,-,1,-,-1,7,-,-,-,-,-,-
Hodduc,0,0.06,0.00,19,0,C++,123,0,0,0,0,1,0,0,50032,-,6532,0.06
IAmWave,0,0.00,0.00,10,0,C++,90,0,0,0,134,19,0,0,40928,-,2540,0.00
Ignat,0,0.00,0.00,17,0,C++,99,0,0,0,0,1,0,0,87656,-,2420,0.00
IlyaMSU,-,-,-,129,-,C++,96,-,0,-,-15,1,-,-,78880,-,-,-
ImBarD,0,0.00,0.00,11,0,C++,99,0,0,0,0,4,0,0,75064,-,2420,0.00
IvL,0,0.06,0.00,18,0,C++,55,0,0,0,0,0,0,0,67056,-,2840,0.06
IvayloS,-,-,-,7,-,C++,176,-,0,-,-15,0,-,-,75776,-,-,-
JAPLJ,0,0.05,0.00,10,0,C++,102,0,0,0,0,0,0,0,53664,-,2856,0.05
JTJL,0,0.00,0.00,189,0,C++,139,0,1,0,127,40,0,0,-,-,1372,0.00
JaNo,0,0.13,0.00,12,0,C++,87,0,0,0,0,3,0,0,71600,-,3108,0.12
Jeannette,0,0.04,0.02,90,0,C++,83,0,0,0,0,0,944,0,121456,-,2512,0.02
Jianzhi,0,0.00,0.00,107,0,C++,83,0,0,0,0,0,0,0,55200,-,2588,0.00
JohnSmith,-,-,-,54,-,C++,166,-,1,-,-1,63,-,-,-,-,-,-
Joisino,0,0.09,0.00,18,0,C++,126,0,0,0,0,1,0,0,97560,-,2876,0.08
Josse,0,0.04,0.00,6,0,C++,78,0,0,0,0,0,0,0,46104,-,2736,0.04
KAP,0,0.07,0.00,2,0,Python,44,0,0,0,0,5,0,0,1272,3.5,8024,0.07
KEO,0,0.01,0.00,0,0,Python,5,8,0,0,0,1,0,0,334,2.7,8540,0.00
KalininN,0,0.08,0.00,12,0,C++,99,0,0,0,0,0,0,0,53560,-,2764,0.03
Kaseo,0,0.08,0.00,168,0,C++,113,0,0,0,0,2,0,0,82728,-,2880,0.08
KennyCz,0,1.18,0.00,16,0,Python,66,8,0,0,0,0,0,0,2228,2.7,14656,1.17
Kentastic,-,-,-,9,-,Python,52,-,0,-,-15,0,-,-,1827,2.7,-,-
Kewowlo,0,0.07,0.00,187,0,C++,81,0,0,0,0,106,0,0,38960,-,6852,0.07
KhaustovPavel,0,0.00,0.00,178,0,C++,143,0,0,0,0,0,0,0,97304,-,2424,0.00
Kostroma,0,0.06,0.00,243,0,C++,128,0,0,0,0,53,0,0,96784,-,2704,0.04
Kristofer,-,-,-,36,-,Java,192,-,1,-,-1,5,-,-,-,-,-,-
Kussy,-,-,-,104,-,C++,47,-,0,-,-15,33,-,-,38648,-,-,-
Laakeri,0,0.56,0.14,7,0,C++,88,0,0,0,0,2,0,0,76456,-,73992,0.41
Labib666,0,0.05,0.00,155,0,C++,228,0,0,0,0,37,0,0,53048,-,3056,0.05
LauZi,0,0.08,0.00,24,0,C++,96,0,0,0,0,1,0,0,43352,-,2640,0.04
LeBron,0,0.00,0.00,176,0,C++,127,0,0,0,134,6,0,0,79616,-,2708,0.00
Lewin,0,0.04,0.00,19,0,Java,136,0,0,0,1,1,64,0,4202,-,21480,0.04
LiJiancheng,0,0.00,0.00,97,0,C++,93,0,0,0,0,1,0,0,52384,-,2560,0.00
Light3,0,0.08,0.00,9,0,C++,63,0,0,0,0,2,0,0,69224,-,3180,0.08
Lightmoon,0,0.00,0.00,113,0,C++,94,0,0,0,134,3,0,0,68776,-,4936,0.00
Lozy,-,-,-,1,-,C++,68,-,1,-,-1,0,-,-,-,-,-,-
Lutyj,0,0.41,0.00,12,0,C++,61,0,0,0,0,0,0,0,39368,-,37824,0.40
MPeti,-,-,-,111,-,C++,91,-,0,-,-15,14,-,-,72272,-,-,-
MRain,0,0.07,0.00,72,0,C++,63,0,0,0,0,3,0,0,40512,-,6964,0.07
MRoizner,0,0.10,0.00,18,0,C++,91,0,0,0,0,2,0,0,73960,-,2688,0.10
MTSranger,0,0.07,0.00,4,0,C++,56,0,0,0,0,2,0,0,73280,-,3848,0.07
MZuev,0,0.04,0.00,241,0,C++,178,0,0,0,0,6,0,0,56240,-,2700,0.03
Mahmoudian,0,0.95,0.03,8,0,C++,77,0,0,0,0,2,1584,0,53688,-,2544,0.91
Manro,0,0.33,0.00,82,0,C++,67,0,0,0,0,0,0,0,88816,-,6440,0.30
ManuelPineda,0,0.22,0.00,21,0,C++,144,0,0,0,0,0,0,0,142784,-,2784,0.22
