user_id,penalty,points,rank
SergeyWeiss,6106,52,175
Serhat.Giydiren,10713,25,1552
Seter,7822,65,98
SevagD,8837,36,1171
Seyaua,6836,52,194
Sfairat,8520,52,259
Shachar,2797,11,2864
Shakib,7493,23,2305
Shapo,3981,37,673
Sharknevercries,5326,25,1351
ShawnDong,9088,50,449
Shimika,8552,38,624
Shiplu,1608,23,1588
Shivamd,3498,11,2969
Shloub,4505,36,1011
Shocoladka,1611,11,2733
Sibi,7933,25,1460
SickMath,9063,50,448
Signin,8964,25,1525
Siliam,2932,11,2892
Simon.M,6161,38,539
SkatingFish,5611,25,1363
Skeas,10683,52,312
Sklyack,8480,25,1493
SkorKNURE,8598,37,910
Skywalker8921,8686,40,471
Slamur,2966,37,667
SlavaSSU,5339,38,513
Slevin,4713,37,680
Smart.Coder,2431,11,2822
SmileyFace,1338,23,1575
Smithers,8179,81,49
Smitty,5688,38,526
SnapDragon,6115,100,7
Snape,2399,11,2818
Snich,8523,37,902
Snorlax,10385,23,2438
SnowFire,7317,23,2293
Snuke,9809,65,144
Sokolov,8739,23,2394
SoonChunMun,7970,23,2337
Sosunser,2563,11,2840
SoulSilver,6105,23,2180
Sp3000,7720,65,95
Spect506,1175,11,2668
Spelvin,9647,37,996
Spiller,8968,23,2408
SpiriFlaviu,3499,11,2970
Spiromanul,573,11,2635
Spooky,8777,37,936
Stacy992,9538,23,2427
SteQL,7615,24,1560
SteelRaven,8384,51,334
StefanPochmann,3073,23,1743
StrYk3r,3620,11,2985
Stratocoder,3022,11,2910
Sumeet.Varma,2426,23,1661
SummerDAway,8004,37,860
SuperContact,7913,38,601
SuperDupont,6558,25,1396
SuperRabbit,6870,37,772
Supermitel,8188,25,1475
Swarnaprakash,6407,37,754
Swistakk,7277,52,211
T.Motooka,4125,12,2499
TMandzu,9093,51,348
TOZ57,8954,37,957
TTL.135678942,6270,37,745
TWal,9069,36,1183
Tadrion,3967,23,1883
TakaakiUmedu,1668,23,1594
Takuma,8138,25,1471
Tan909090909090,1346,23,1576
Tanay1998,2668,23,1687
Tangjz,5273,23,2082
Taras,8834,25,1519
TarasBob,8433,40,467
Tata201201,5840,23,2146
TeaPot,7352,100,15
Tedium,9517,51,354
Tehnar,1556,23,1583
Tellmarch,8953,65,127
Temirulan,3530,23,1811
Tenich,2874,11,2880
Tenyoku,10743,50,463
TerryMcGinnis,2459,11,2824
Thanabhat,6061,37,726
ThangTQ,7793,37,840
ThatMathGuy,3233,23,1767
TheNumberOne,8008,13,2454
ThetaGo,5343,23,2089
ThiagoRRamos,1374,11,2696
ThierryFR,9136,12,2629
Thijs.,8990,73,61
Thomas.94,7427,36,1086
Tifuera.,7594,52,222
TigerLoveZj,7560,37,819
Tigersden,7491,37,810
TimonKnigge,6858,27,1261
TimurSitdikov,8167,52,245
Timus,1349,23,1577
Tingnan,1937,11,2765
Tinkerbell,1622,11,2734
Titandrake,9338,52,298
TomatoCoder,4647,23,2001
Tombana,6263,23,2196
Tomi,1088,11,2660
Tominator,1036,11,2657
TonyHSU,5937,23,2153
TonySnark,7478,52,220
Torstein,7696,23,2321
TouchMyCode,5711,37,709
TrePe,7150,12,2571
TrentonO,2937,11,2895
TrevorDasch,3311,25,1310
TripShock,5523,25,1360
Triply,8427,40,466
Troublemaker,8064,36,1120
