user_id,syatem_time,wall_clock,system_time,blanks,avg_memory,compiler_version,language,cloc,nbr_file_in,compiled,swap_main_memory,avg_RAM,exit_code,comments,nbr_file_out,nbr_page_faults,exe_size,max_RAM,user_time
IlyaLos,0.00,0.00,0.00,19,0,-,C++,88,0,0,0,0,0,0,0,0,11216,2608,0.00
alangpierce,0.00,0.00,0.00,11,0,-,C++,51,0,1,0,0,127,0,0,0,-,1424,0.00
trainsick,0.01,0.08,0.00,6,0,-,java,25,0,0,0,0,0,0,64,0,-,24796,0.08
ipa4lov,0.00,0.00,0.00,3,0,-,C++,46,0,0,0,0,0,0,0,0,12880,2588,0.00
maroon,0.00,0.00,0.00,7,0,-,C++,30,0,0,0,0,0,0,0,0,9712,2608,0.00
rwali,0.00,0.04,0.00,12,0,-,java,42,0,0,0,0,1,117,64,0,-,21496,0.04
natsukagami,0.00,0.00,0.00,2,0,-,C++,17,0,0,0,0,0,0,0,0,10080,2560,0.00
LeeMobile,0.00,0.00,0.00,9,0,2.7,Python,19,0,0,0,0,0,0,0,0,-,6352,0.00
exod40,0.00,0.00,0.00,5,0,-,C++,35,0,0,0,0,0,1,0,0,7768,2432,0.00
durt,0.00,0.00,0.00,4,0,-,C++,20,0,0,0,0,0,0,0,0,12576,2444,0.00
cchao,0.00,0.00,0.00,4,0,-,C++,55,0,0,0,0,0,3,0,0,29464,2624,0.00
dingxiangfei,0.00,0.00,0.00,3,0,-,C++,40,0,0,0,0,0,7,0,0,10960,2488,0.00
gcjlzy,0.00,0.00,0.00,0,0,-,C++,29,0,0,0,0,0,0,0,0,10336,2464,0.00
achaitanyasai,0.00,0.00,0.00,4,0,-,C++,35,0,0,0,0,0,0,0,0,11544,2748,0.00
yaoling1997,0.00,0.00,0.00,0,0,-,C++,26,0,0,0,0,0,2,0,0,7768,2376,0.00
rickytheta,0.00,0.00,0.00,7,0,-,C++,57,0,0,0,0,0,3,0,0,10960,2600,0.00
PavelKuznetsov,0.00,-,-,21,-,-,C#,137,-,1,-,-,-1,0,-,-,-,-,-
johngs,0.00,0.00,0.00,30,0,-,C++,123,0,0,0,0,0,2,0,0,10880,2608,0.00
rian,0.00,0.01,0.00,4,0,-,C#,155,0,0,0,0,0,0,0,0,-,14268,0.01
canada,0.00,0.00,0.00,6,0,-,C++,33,0,0,0,0,0,0,0,0,10816,2580,0.00
PapyMoustache,-,-,-,3,-,-,C++,29,-,1,-,-,-1,2,-,-,-,-,-
tjuby,0.01,0.04,0.00,6,0,-,java,71,0,0,0,0,1,0,64,0,-,21460,0.04
TrueBamboo,0.01,0.74,0.22,2,0,-,C++,32,0,0,0,0,0,0,137184,0,9936,2596,0.36
Umnik,0.00,0.00,0.00,4,0,-,C++,26,0,0,0,0,0,0,0,0,8784,2596,0.00
