user_id,avg_memory,wall_clock,system_time,blanks,avg_RAM,language,cloc,nbr_file_in,compiled,swap_main_memory,exit_code,comments,nbr_file_out,nbr_page_faults,exe_size,compiler_version,compile_error_msg,run_error_msg,max_RAM,user_time
jdc1515,-,-,-,13,-,Python,55,-,0,-,1,0,-,-,-,2.7,-,File or Dir not found,-,-
jdream11,0,0.00,0.00,0,0,C++,58,0,0,0,0,0,0,0,8632,-,-,-,2052,0.00
jeremy624,0,0.00,0.00,0,0,C++,49,0,0,0,0,0,0,0,8576,-,-,-,2128,0.00
jerrymao,0,0.12,0.00,3,0,C++,44,0,0,0,0,0,0,0,7840,-,-,-,2364,0.04
jesful,0,0.33,0.01,2,0,Java,100,0,0,0,0,0,72,0,1867,-,-,-,62976,0.40
jfaw,0,6.20,0.00,19,0,Python,68,0,0,0,0,19,0,0,2868,2.7,-,-,7296,6.18
jiang718,0,0.15,0.00,4,0,C++,85,0,0,0,0,8,0,0,23808,-,-,-,2520,0.07
jiaqiyang,0,0.09,0.00,5,0,C++,45,0,0,0,0,0,0,0,8776,-,-,-,2436,0.04
jilljenn,-,-,-,1,-,Python,12,-,0,-,-15,0,-,-,635,2.7,-,Timeout,-,-
jinzhao,0,0.07,0.00,3,0,C++,38,0,0,0,0,0,0,0,7888,-,-,-,2320,0.03
jmdyck,-,-,-,33,-,Python,95,-,0,-,-15,16,-,-,4367,2.7,-,Timeout,-,-
jo4,0,0.08,0.00,3,0,C++,55,0,0,0,0,3,0,0,10808,-,-,-,2608,0.04
joaog,0,0.00,0.00,40,0,C++,67,0,0,0,0,6,0,0,11720,-,-,-,2456,0.00
joaopalotti,0,0.85,0.06,17,0,Python,43,0,0,0,0,9,0,0,1213,2.7,-,-,19692,0.78
jodik,0,0.31,0.00,7,0,C++,61,0,0,0,0,1,0,0,32576,-,-,-,2548,0.15
joegunrok,0,0.26,0.00,16,0,Python,56,8,0,0,0,1,0,0,3863,2.7,-,-,6744,0.25
joey2005,0,0.00,0.00,4,0,C++,47,0,0,0,136,3,0,0,36264,-,-,Unknown,1912,0.00
joeylee,-,-,-,1,-,C++,86,-,1,-,-1,1,-,-,-,-,not declared,-,-,-
