user_id,avg_memory,wall_clock,system_time,blanks,language,compiler_version,cloc,nbr_file_in,compiled,swap_main_memory,avg_RAM,exit_code,comments,nbr_file_out,nbr_page_faults,exe_size,compile_error_msg,run_error_msg,max_RAM,user_time
mkiken,0,0.39,0.00,5,C++,-,75,24,0,0,0,0,15,0,0,12056,-,-,7124,0.39
mkorkmaz3,-,-,-,115,C++,-,82,-,0,-,-,-1,0,-,-,22816,-,-,-,-
mkut,-,-,-,5,C++,-,37,-,0,-,-,-1,0,-,-,11080,-,-,-,-
ml2,0,1.19,0.03,10,Python,2.7,30,8,0,0,0,0,4,0,0,910,-,-,97564,1.14
mlazowik,-,-,-,20,C++,-,57,-,0,-,-,-1,4,-,-,9472,-,-,-,-
mmagdi,0,0.00,0.00,139,C++,-,112,32,0,0,0,0,9,0,0,12808,-,-,2464,0.00
mmargoliono,0,0.29,0.02,10,Java,-,50,0,0,0,0,0,0,72,0,1926,-,-,83280,0.30
mmlmesic,0,0.00,0.00,35,C++,-,49,0,1,0,0,127,48,0,0,-,Unknown error,Command not found,1432,0.00
mniewiad,-,-,-,3,C++,-,60,-,0,-,-,-1,0,-,-,8344,-,-,-,-
mocha,0,0.04,0.01,8,Java,-,65,0,0,0,0,1,6,72,0,1905,-,java.lang.ArrayIndexOutOfBoundsException:,23692,0.02
mohanad93,-,-,-,108,C++,-,87,-,0,-,-,-1,3,-,-,40200,-,-,-,-
monkeylyf,-,-,-,111,C++,-,79,-,0,-,-,-1,6,-,-,9616,-,-,-,-
moodoki,0,0.00,0.00,19,C++,-,67,0,0,0,0,255,10,0,0,26248,-,Unknown,2552,0.00
moronosuke,0,0.04,0.00,6,Java,-,97,0,1,0,0,0,3,72,0,3037,Unknown error,-,23704,0.03
mosa1991,-,-,-,0,C,-,51,-,0,-,-,-15,0,-,-,9200,-,-,-,-
moshangcheng,-,-,-,63,C++,-,43,-,1,-,-,-1,0,-,-,-,not declared,-,-,-
mosiomohsen,0,0.43,0.00,103,C++,-,80,56,0,0,0,0,2,0,0,28416,-,-,4324,0.42
mostleg,-,-,-,116,C++,-,77,-,1,-,-,-1,3,-,-,-,No such file or directory,-,-,-
mountainvat,0,0.42,0.02,17,C#,-,94,0,0,0,0,0,6,8,0,7168,-,-,44304,0.39
mpeychev,-,-,-,13,C++,-,48,-,0,-,-,-1,0,-,-,9888,-,-,-,-
mrinalr,-,-,-,80,C++,-,66,-,0,-,-,-1,0,-,-,10824,-,-,-,-
mruxim,0,0.05,0.00,80,C++,-,52,24,0,0,0,0,2,0,0,10464,-,-,7496,0.05
msasha,-,-,-,30,Java,-,93,-,1,-,-,-1,0,-,-,-,Unknown error,-,-,-
msiro,-,-,-,127,C++,-,97,-,1,-,-,-1,3,-,-,-,No such file or directory,-,-,-
mugenen,0,0.92,0.01,3,Python,2.7,23,8,0,0,0,0,3,0,0,720,-,-,16228,0.90
muhTamer,-,-,-,56,C++,-,46,-,0,-,-,-1,4,-,-,10128,-,-,-,-
mukel,-,-,-,17,C++,-,67,-,0,-,-,-1,4,-,-,31152,-,-,-,-
mukulgupta,-,-,-,56,C++,-,75,-,0,-,-,-1,0,-,-,12296,-,-,-,-
mvdnes,-,-,-,46,C++,-,34,-,0,-,-,-1,1,-,-,10656,-,-,-,-
myCat,-,-,-,15,C++,-,67,-,0,-,-,-1,3,-,-,25064,-,-,-,-
mynameborat,0,0.16,0.02,22,Java,-,91,0,0,0,0,0,2,80,0,1566,-,-,58124,0.14
mzambe,-,-,-,14,C++,-,64,-,0,-,-,-1,21,-,-,9864,-,-,-,-
naiveAlgorist,-,-,-,11,C++,-,81,-,0,-,-,-1,4,-,-,13472,-,-,-,-
nakari1124,0,0.23,0.02,19,C++,-,81,40,0,0,0,0,0,0,0,18152,-,-,19836,0.20
nam,-,-,-,76,C++,-,66,-,0,-,-,-1,1,-,-,11800,-,-,-,-
nase,0,0.10,0.00,136,C++,-,90,32,0,0,0,0,8,0,0,12416,-,-,11432,0.09
natha0x6e,0,0.20,0.00,10,C++,-,57,24,0,0,0,0,0,0,0,11200,-,-,4380,0.20
natiq,-,-,-,14,C++,-,56,-,0,-,-,-1,0,-,-,11256,-,-,-,-
natrium,0,0.08,0.00,115,C++,-,94,48,0,0,0,0,0,0,0,22752,-,-,3364,0.07
nblx,-,-,-,92,C++,-,81,-,0,-,-,-1,0,-,-,44088,-,-,-,-
ndtc,0,0.00,0.00,49,C++,-,37,32,0,0,0,0,0,0,0,14776,-,-,2460,0.00
neai,0,0.00,0.00,102,C++,-,178,0,0,0,0,1,121,0,0,44400,-,Unknown,2556,0.00
needay,-,-,-,8,C++,-,47,-,0,-,-,-1,4,-,-,29016,-,-,-,-
nerdDan,0,0.27,0.00,1,Java,-,34,0,0,0,0,0,3,72,0,1265,-,-,52220,0.26
nextgen,0,0.00,0.00,76,C++,-,65,32,0,0,0,0,0,8,0,14176,-,-,2556,0.00
nhatminh2947,-,-,-,146,C++,-,97,-,0,-,-,-1,12,-,-,24720,-,-,-,-
nicesap,0,0.26,0.00,113,C++,-,81,24,0,0,0,0,3,0,0,10296,-,-,3296,0.26
