user_id,blanks,language,compiler_version,cloc,compiled,comments
AMV,0.00,0.00,25,0,Python,3.5,54,0,2,0,0,2,22,0,0,7272,0.00
hjwdzh,13,C++,-,157,127,0
eduardische,9,C++,-,224,127,14
luochen1990,0.00,0.00,7,0,Python,2.7,39,0,2,0,0,2,0,0,0,6212,0.00
LanceHalberd,-,-,8,-,java,-,142,-,1,-,-,1,4,-,-,-,-
ASotelo,-,-,2,-,java,-,263,-,1,-,-,1,6,-,-,-,-
jonathanasdf,6,C++,-,152,127,5
Rustyoldman,20,C++,-,186,127,48
fsouza,15,C++,-,81,127,0
Pasqual45,12,C++,-,54,127,0
Gandarf,17,C++,-,137,127,14
kappahouse,7,C++,-,69,127,1
Fatih,-,-,13,-,java,-,102,-,0,-,-,0,0,-,-,-,-
choi,12,C++,-,76,127,2
srh,87,C++,-,328,127,36
Squarefk,9,C++,-,113,127,0
eireksten,-,-,34,-,java,-,115,-,1,-,-,1,15,-,-,-,-
CuteCube,62,C,-,272,127,40
g201513,23,C++,-,102,127,2
ACube,32,C++,-,161,127,10
amylase,14,C++,-,71,127,11
hatemybrain,24,java,-,158,1,19
rydotyosh,45,C++,-,255,127,2
jzj,10,C++,-,105,127,7
LeoYu,8,C++,-,74,127,0
octopusyy,0.01,0.42,27,0,C#,-,96,0,0,0,0,0,3,0,0,36728,0.41
AIMag,14,C++,-,55,127,0
buda,4,C++,-,95,127,0
smileking,21,C++,-,102,127,11
mjmjmtl,24,C++,-,201,127,8
Tinysun,32,C++,-,110,127,13
zaq1xsw2tktk,0.00,0.01,4,0,C#,-,164,0,2,0,0,2,0,0,0,12016,0.00
nonsava,0.00,0.00,49,0,C#,-,201,0,2,0,0,2,26,0,0,12052,0.00
CaseyRoberts711,34,C++,-,125,127,76
NumberCruncher,0.00,0.00,39,0,C#,System.Numerics,173,0,2,0,0,2,27,0,0,12012,0.00
donogo,71,C++,-,294,127,6
kcm1700,22,C++,-,157,127,0
ymgve,-,-,53,-,java,-,330,-,0,-,-,0,5,-,-,-,-
levlam,19,C++,-,91,127,0
sisi44,-,-,8,-,java,-,202,-,0,-,-,0,16,-,-,-,-
SnapDragon,3,C++,-,72,127,7
zifmia,0.00,0.00,20,0,Python,2.7,58,0,2,0,0,2,6,0,0,6228,0.00
sessoh,-,-,21,-,java,-,166,-,1,-,-,1,10,-,-,-,-
MAME,39,C++,-,291,127,80
bwps,7,C++,-,61,127,0
iakudryashov,97,C++,-,156,127,0
Smartpiggy,87,C++,-,367,127,4
hustsxh,14,C++,-,87,127,0
durt,17,C++,-,75,127,2
zerosnake0,24,C,-,180,127,4
LinShu,13,C++,-,139,127,7
Maf,9,C++,-,50,127,5
xuanyan,23,C++,-,137,127,0
sekiye,0.00,0.03,4,0,Python,2.7,37,0,0,0,0,0,0,0,0,8388,0.02
soimort,76,C++,-,531,127,8
W4yneb0t,4,C++,-,156,127,10
piyawatl,0.00,0.00,2,0,C#,-,46,0,2,0,0,2,18,0,0,12052,0.00
burunduk3,4,C++,-,89,127,30
Arcturus,18,C++,-,158,127,18
ijacek,-,-,22,-,java,-,126,-,1,-,-,1,0,-,-,-,-
Wataru,63,C++,-,242,127,8
yasu0207,-,-,1,-,java,-,113,-,0,-,-,0,0,-,-,-,-
covganet,-,-,12,-,java,-,93,-,0,-,-,0,0,-,-,-,-
koyus,45,C,-,168,127,21
azhai,23,C++,-,88,127,3
tikitikirevenge,9,C++,-,103,127,11
