user_id,avg_memory,wall_clock,system_time,blanks,language,compiler_version,cloc,nbr_file_in,compiled,swap_main_memory,avg_RAM,exit_code,comments,nbr_file_out,nbr_page_faults,exe_size,max_RAM,user_time
PNG,0,0.24,0.01,14,Java,-,40,0,0,0,0,0,0,72,0,-,67296,0.25
PackyBear,0,0.00,0.00,4,Python,2.7,35,0,0,0,0,0,1,0,0,-,6568,0.00
PaeP3nguin,0,0.00,0.00,7,Python,2.7,27,0,0,0,0,2,1,0,0,-,6112,0.00
PalmPTSJ,0,0.00,0.00,10,C++,-,100,0,0,0,0,0,5,0,0,17832,2752,0.00
PaoDuroMacMoney,-,-,-,3,C#,-,0,-,-1,-,-,-1,8,-,-,-,-,-
PattyHuang,0,0.03,0.00,0,Python,2.7,25,0,0,0,0,0,2,0,0,-,6444,0.02
PavelChadnov,-,-,-,16,Java,-,52,-,1,-,-,-1,2,-,-,-,-,-
PeekABoo,0,0.04,0.00,19,Java,-,43,0,0,0,0,1,0,64,0,-,21204,0.04
PepeOfMath,0,0.05,0.01,14,Java,-,42,0,0,0,0,1,8,64,0,-,21768,0.03
PetarV,0,0.00,0.00,13,C++,-,59,0,0,0,0,0,4,0,0,9144,2536,0.00
PetrR,0,0.04,0.00,14,Java,-,77,0,0,0,0,1,7,64,0,-,26844,0.04
Pfpardo,0,0.05,0.01,11,Java,-,67,0,1,0,0,1,12,64,0,-,23584,0.04
Phil217,0,0.04,0.00,5,Java,-,37,0,0,0,0,1,2,64,0,-,21420,0.04
PhilipsT,0,0.35,0.00,4,C++,-,36,0,0,0,0,0,1,0,0,8080,2452,0.35
Piano,0,0.00,0.00,1,C,-,25,0,0,0,0,0,0,0,0,7496,2264,0.00
PixelIndigo,0,0.00,0.00,13,Python,2.7,23,0,0,0,0,2,0,0,0,-,6204,0.00
Plat5,0,0.00,0.00,31,C++,-,40,0,0,0,0,1,8,0,0,14120,2744,0.00
PoJieNie,0,0.00,0.00,3,C++,-,43,0,0,0,0,0,0,0,0,7928,2424,0.00
Polaricicle,0,0.00,0.00,4,Python,2.7,34,0,0,0,0,2,0,0,0,-,6192,0.00
Polygonian,0,0.00,0.00,6,C++,-,35,0,0,0,0,0,7,0,0,9576,2384,0.00
Poor,0,0.00,0.00,0,C++,-,1,0,0,0,0,0,0,0,0,10776,2608,0.00
PreNa,0,4.18,3.12,7,C++,-,42,0,0,0,0,0,0,153632,0,11136,2500,1.06
Pred4c3,0,0.00,0.00,3,Python,3.5,13,0,1,0,0,2,0,0,0,-,7224,0.00
PrimuS,0,0.00,0.00,4,Python,3.5,17,0,1,0,0,2,0,0,0,-,7204,0.00
ProjectYoung,0,0.04,0.00,6,Java,-,55,0,1,0,0,1,0,64,0,-,21684,0.03
ProjectZero,0,0.00,0.00,10,C++,-,47,0,0,0,0,0,4,0,0,11024,2680,0.00
ProphetOvDarkness,0,0.00,0.00,17,C++,-,62,0,0,0,0,0,8,0,0,11168,2644,0.00
ProteanMercury,0,0.00,0.00,4,Python,2.7,26,0,0,0,0,2,0,0,0,-,6128,0.00
ProtonH,0,0.00,0.00,5,Python,2.7,50,0,0,0,0,0,2,0,0,-,6372,0.00
PurpleToaster,0,0.00,0.00,3,Python,2.7,22,0,0,0,0,2,0,0,0,-,6132,0.00
Q112,-,-,-,16,Python,2.7,22,-,0,-,-,1,0,-,-,-,-,-
Qiao893,0,0.00,0.00,8,Python,2.7,25,0,0,0,0,2,1,0,0,-,6192,0.00
QiuZhiyue,0,0.53,0.02,2,C++,-,27,0,0,0,0,0,0,153584,0,9024,2668,0.51
