user_id,syatem_time,wall_clock,system_time,blanks,avg_memory,language,compiler_version,cloc,nbr_file_in,compiled,swap_main_memory,avg_RAM,exit_code,comments,nbr_file_out,nbr_page_faults,exe_size,max_RAM,user_time
Malvolio,0.00,0.06,0.00,9,0,java,-,54,0,0,0,0,1,0,64,0,-,21344,0.06
eush77,0.00,-,-,13,-,C++,-,35,-,127,-,-,-1,0,-,-,-,-,-
kunal93,0.00,-,-,5,-,C++,-,40,-,127,-,-,-1,0,-,-,-,-,-
kellymilla18,0.00,-,-,2,-,C++,-,35,-,127,-,-,-1,0,-,-,-,-,-
wwt15,0.00,-,-,2,-,C++,-,29,-,127,-,-,-1,0,-,-,-,-,-
gkreitz,0.00,0.00,0.00,3,0,Python,2.7,17,0,0,0,0,0,0,0,0,-,6428,0.00
Ljq,0.00,0.01,0.00,6,0,Python,3.5,16,0,0,0,0,2,1,0,0,-,7284,0.01
devjoe,0.00,0.00,0.00,1,0,Python,2.7,15,0,0,0,0,0,0,0,0,-,6584,0.00
earl,0.00,-,-,2,-,C++,-,31,-,127,-,-,-1,1,-,-,-,-,-
Jongho,0.00,0.01,0.00,1,0,Python,2.7,17,0,0,0,0,0,0,0,0,-,6700,0.01
gotoloop,0.00,-,-,5,-,C++,-,38,-,127,-,-,-1,0,-,-,-,-,-
nielsb,0.00,0.05,0.00,9,0,java,-,33,0,0,0,0,1,0,64,0,-,21396,0.04
anzu,0.00,-,-,3,-,C++,-,31,-,127,-,-,-1,2,-,-,-,-,-
int13h,0.00,0.04,0.00,44,0,java,-,62,0,0,0,0,0,7,64,0,-,21752,0.04
joaog,0.00,0.00,0.00,9,0,Python,2.7,25,0,0,0,0,2,0,0,0,-,6140,0.00
jmzhao,0.00,0.01,0.00,7,0,Python,3.5,26,0,1,0,0,2,0,0,0,-,7180,0.00
daisynowhere,0.00,-,-,2,-,C++,-,41,-,127,-,-,-1,7,-,-,-,-,-
dkorduban,0.00,-,-,11,-,C++,-,57,-,127,-,-,-1,12,-,-,-,-,-
Atile,0.00,-,-,10,-,C++,-,37,-,127,-,-,-1,0,-,-,-,-,-
bam,0.00,-,-,7,-,C#,-,46,-,1,-,-,-1,0,-,-,-,-,-
yzq986,0.00,-,-,3,-,C++,-,23,-,127,-,-,-1,2,-,-,-,-,-
cmroz,0.00,0.00,0.00,1,0,Python,2.7,14,0,0,0,0,0,0,0,0,-,6464,0.00
Neverauskas,0.00,-,-,9,-,C#,-,74,-,1,-,-,-1,0,-,-,-,-,-
xr1sk,0.00,-,-,11,-,C,-,29,-,127,-,-,-1,0,-,-,-,-,-
kopemon,0.00,-,-,9,-,C#,-,52,-,1,-,-,-1,0,-,-,-,-,-
m11121,0.00,-,-,2,-,C++,-,34,-,127,-,-,-1,0,-,-,-,-,-
Milanin,0.00,-,-,1,-,C++,-,48,-,127,-,-,-1,0,-,-,-,-,-
Sp3000,0.00,0.01,0.00,6,0,Python,3.5,14,0,1,0,0,2,1,0,0,-,7236,0.00
0x42,0.01,0.05,0.00,20,0,java,-,47,0,0,0,0,1,0,64,0,-,21656,0.04
zearom32,0.00,-,-,8,-,C++,-,49,-,127,-,-,-1,0,-,-,-,-,-
asandrin,0.00,-,-,17,-,C++,-,46,-,127,-,-,-1,0,-,-,-,-,-
Arcey,0.00,-,-,4,-,C#,-,45,-,1,-,-,-1,1,-,-,-,-,-
nao12,0.00,0.05,0.00,19,0,java,-,66,0,0,0,0,1,0,64,0,-,21324,0.04
BudAlNik,0.00,-,-,7,-,C++,-,40,-,127,-,-,-1,2,-,-,-,-,-
Orlangur,0.00,0.02,0.00,8,0,C#,-,40,0,0,0,0,0,0,0,0,-,17516,0.01
evandrix,0.00,0.05,0.02,3,0,Python,2.7,19,0,0,0,0,0,2,0,0,-,6404,0.02
DreamWang,0.01,0.05,0.00,1,0,java,-,59,0,0,0,0,1,2,64,0,-,21708,0.04
pps789,-,-,-,3,-,C++,-,28,-,127,-,-,-1,0,-,-,-,-,-
yaegashi,0.00,-,-,2,-,C++,-,27,-,127,-,-,-1,1,-,-,-,-,-
TimothyB,0.00,0.08,0.00,8,0,java,-,37,0,0,0,0,0,1,64,0,-,25120,0.07
Borisp,0.00,-,-,4,-,C++,-,50,-,127,-,-,-1,0,-,-,-,-,-
MeloFix,0.01,1.57,0.00,8,0,Python,2.7,15,0,0,0,0,0,0,0,0,-,38020,1.56
chenxiaoqino,0.00,-,-,7,-,C++,-,39,-,127,-,-,-1,0,-,-,-,-,-
cos,0.00,-,-,4,-,C++,-,54,-,127,-,-,-1,1,-,-,-,-,-
tdang33,0.00,0.01,0.00,4,0,Python,2.7,19,0,0,0,0,0,3,0,0,-,6564,0.00
Cruiser,0.00,-,-,3,-,C,-,33,-,127,-,-,-1,0,-,-,-,-,-
xiaowuc1,0.01,0.05,0.00,7,0,java,-,75,0,0,0,0,0,0,72,0,-,22156,0.05
fagu,0.00,-,-,4,-,C++,-,58,-,127,-,-,-1,0,-,-,-,-,-
Fedyarer,0.00,-,-,8,-,C++,-,55,-,127,-,-,-1,0,-,-,-,-,-
AhmadMamdouh,0.01,0.06,0.00,9,0,java,-,82,0,0,0,0,0,1,64,0,-,23512,0.05
Qwertyuiop,0.00,0.02,0.00,9,0,Python,2.7,22,0,0,0,0,0,0,8,0,-,6520,0.01
ulrikdem,0.00,-,-,1,-,C++,-,33,-,127,-,-,-1,0,-,-,-,-,-
