user_id,syatem_time,wall_clock,blanks,avg_memory,language,compiler_version,cloc,nbr_file_in,compiled,swap_main_memory,avg_RAM,exit_code,comments,nbr_file_out,nbr_page_faults,max_RAM,user_time
mslus,-,-,10,-,C++,-,67,-,-15,-,-,-15,6,-,-,-,-
SergGr,0.00,0.00,11,0,Python,2.7,43,0,2,0,0,2,7,0,0,6136,0.00
bigfoot,0.00,0.00,4,0,C++,-,36,0,0,0,0,0,1,0,0,2336,0.00
SlowCoder,-,-,23,-,C++,-,76,-,-1,-,-,-1,1,-,-,-,-
Guntapilus,0.00,0.00,3,0,Python,2.7,26,0,2,0,0,2,0,0,0,6180,0.00
ankurgupta,0.00,0.00,7,0,C++,-,55,0,0,0,0,0,0,0,0,2536,0.00
HeniekPL,0.00,0.00,6,0,C++,-,54,0,0,0,0,0,0,0,0,2276,0.00
chaoy,0.00,0.01,4,0,Python,3.5,32,0,2,0,0,2,0,0,0,7124,0.00
m7mdbadawy,0.00,0.00,3,0,C++,-,45,0,0,0,0,0,0,0,0,2536,0.00
Erfaniaa,0.00,0.00,5,0,C++,-,81,0,0,0,0,0,2,0,0,2568,0.00
gorod,0.00,0.01,4,0,Python,2.7,29,8,0,0,0,0,1,0,0,6548,0.00
cwj,0.00,0.00,5,0,C++,-,62,0,0,0,0,0,0,0,0,2468,0.00
shravanpatel5,0.00,0.00,1,0,C++,-,65,0,0,0,0,0,5,0,0,2512,0.00
Matjaz,0.00,0.00,14,0,Python,2.7,26,0,0,0,0,0,1,0,0,6716,0.00
MathBunny123,-,-,12,-,java,-,112,-,-1,-,-,-1,3,-,-,-,-
mteichmann,0.00,0.01,10,0,Python,3.5,36,0,2,0,0,2,2,0,0,7224,0.01
kokalishte,0.00,0.00,7,0,C++,-,61,0,0,0,0,0,6,0,0,2640,0.00
hguanyao,0.00,0.00,7,0,C++,-,126,0,0,0,0,0,1,0,0,2620,0.00
algomaus,0.00,0.00,9,0,Python,2.7,48,0,2,0,0,2,4,0,0,6132,0.00
amr4i,0.00,0.00,1,0,C,-,77,0,139,0,0,139,0,0,0,2100,0.00
marsis,0.00,0.75,5,0,C++,-,61,0,0,0,0,0,13,0,0,2548,0.74
jungarr1k,3.30,4.33,5,0,C++,-,56,0,0,0,0,0,0,129104,0,2476,1.03
ccsnoopy,0.00,0.00,10,0,C++,-,71,0,0,0,0,0,0,0,0,2548,0.00
MGalc,0.00,0.01,12,0,C++,-,129,0,0,0,0,0,2,0,0,2480,0.00
amunation,0.00,0.00,5,0,C++,-,86,0,0,0,0,0,1,0,0,2532,0.00
teoy,0.00,0.00,1,0,C++,-,50,0,0,0,0,0,0,0,0,2712,0.00
Odeen,0.00,0.00,2,0,C++,-,39,0,0,0,0,0,0,0,0,2604,0.00
davir,0.00,0.00,3,0,C++,-,62,0,0,0,0,0,0,0,0,2472,0.00
lancer,0.00,0.00,6,0,C++,-,61,0,0,0,0,0,0,0,0,2360,0.00
ZJL,0.00,0.00,7,0,C++,-,71,0,0,0,0,0,0,0,0,2480,0.00
pedrosorio,0.00,0.01,3,0,Python,2.7,50,8,0,0,0,0,0,0,0,6600,0.00
brucewayne123,-,-,0,-,C++,-,76,-,-1,-,-,-1,11,-,-,-,-
sergeydyshko,0.00,0.00,5,0,Python,2.7,34,0,2,0,0,2,0,0,0,6196,0.00
gaebor,0.00,0.01,2,0,Python,3.5,19,0,2,0,0,2,0,0,0,7232,0.00
GJMIMIMEOW,0.00,0.00,6,0,Python,2.7,52,0,2,0,0,2,1,0,0,6144,0.00
fragusbot,0.03,0.46,3,0,C++,-,59,0,0,0,0,0,0,129144,0,2708,0.42
nickbuelich,0.01,0.08,12,0,java,-,58,0,0,0,0,0,0,72,0,30176,0.08
PiffNP,0.00,0.00,2,0,C++,-,63,0,1,0,0,1,0,0,0,2384,0.00
sukunrt,0.00,0.00,7,0,C++,-,45,0,0,0,0,0,0,0,0,2344,0.00
davidje13,0.00,0.00,6,0,C++,-,63,0,0,0,0,0,1,0,0,2648,0.00
Azat,0.00,0.07,6,0,java,-,92,0,0,0,0,0,2,64,0,21756,0.06
