user_id,penalty,points
ilovekonoka,6817,16
multitouch,6091,16
sushantjainism,9153,10
Along,9307,16
r2jitu,5976,21
victor.j8,7926,21
waik,5758,27
savinov,7734,21
stefan,8660,57
er147483647,8487,10
shokrof,6796,43
jackfeng,7071,64
Jihad.Assad,4994,10
Berry,4891,21
okazaki,3484,16
LiJiancheng,9913,27
along,5816,63
Mrzk,4191,6
manu.factor,8906,57
hardyyeh,5510,21
rubbal,5342,6
Corey,8395,27
Entropy,8963,43
YaoJinyu,7080,63
javadecoder,4547,6
IlyaMSU,8740,63
RoBa,7208,63
charliejack,4093,16
cuongnm92,3946,21
Cenadar,8996,45
alyaxey,8293,57
dwenzel,3162,16
DrakeAnderson,3635,21
bloody,3168,27
wdydyb,6735,16
FinalFantasy,6231,10
pckben,9132,10
einstand,6687,36
arimbun,7725,21
MrRoach,8525,57
kdalex,7093,63
npinsker,5011,57
Arkchar,9857,63
Tharis,2753,10
NewByEiEi,5885,21
nicpe92,5707,10
is.un,7778,63
yprakash,9406,10
malcolm734,6633,63
rivig,7032,21
AjJi,1395,6
kouri128,4539,10
Kiselev.Yuri,9560,63
ToN.AC119,7353,27
hm9122001,7249,27
hillboy,8322,63
xuanyan,8095,27
yunoac,2944,6
DimaPhil,4173,27
cambraca,3982,27
SummerDAway,6585,27
SergeyAkimov,4972,27
fikr,5845,10
Rom,6449,16
tabdulradi,6422,43
pswgoo,3781,21
iwolff,3199,6
hhhuang,8944,27
Jens,3645,27
witua,4488,27
hewei,2033,21
DD.tt,9182,57
Linksku,4247,6
slycer,10466,27
cast1e,5208,21
Akollias,2491,21
AnnKats93,2991,10
Bartek,6189,21
aborg,5232,43
KuoE0,8214,27
co.saka,5866,27
clemvn,7247,57
Swarnaprakash,7061,27
Gene53,8729,36
aram90,6229,63
pr0ton,3194,27
pianojuggler4,5202,16
iPinguin,9284,10
bosung90,8663,21
El.Moatasem,3988,6
StephYDX,8698,63
dm4,6837,10
Baras,5959,21
akaki,1913,27
vitar,6749,21
deuterion,4222,6
slorange,3747,21
polmuz,2529,6
SpiritsUnite,6494,21
TheRasmus,4499,10
squarelog,6460,10
liuyujyyz,9110,27
hedonist,8961,63
Veltz,8049,10
guyk,7082,43
chaoma,9847,27
kinodjnz,7615,63
ralkie,4564,10
Amoa400,8817,45
boleyn.su,8291,63
hanseul,4424,10
kelvinlau,3197,27
Sklyack,6936,16
stoness,10042,21
lcdavid94,6783,27
gollum,5721,36
windy7926778,6842,63
hex539,3758,27
Hachimori,8616,63
NioBium,8627,27
huyuealex,4298,27
Aros,7349,27
satoshi8732,8830,10
magicdlf,8863,45
LIB,6473,10
moonlight131,6628,63
omarobeya,9647,21
Cho,3461,27
Oaky,2715,6
alan790712,7757,16
Uriel,8656,16
Ant.dujun,8698,27
lujcmss,7973,21
niyaznigmatul,5952,100
ChrisDz,5189,6
torb,4660,27
Kaizero,2966,21
djsci,10255,10
Richard.Lei,8678,53
prakashgayasen,4077,10
soonk,3708,21
brinky,5582,57
giwon,7014,21
djk,4736,10
kronenthaler,3595,6
mgqa34,2836,21
Yoshiap,8871,63
Kolomenkin,8616,27
cyfhz,5077,27
Kraken,5767,27
QuantumCaffeine,7159,21
kilnyy,6583,57
Shaun.Jackman,5133,16
majiang,7161,27
Dragonaire,7074,27
zhupeijun,8378,27
cjFlux,6752,16
modulo10,4765,21
cheb,9296,21
ImmaWizard,8338,63
etome,4152,27
jmad,5898,43
wikol,2819,27
chandan1788,7173,21
KAP,5451,63
RasMisha,7559,27
billy.nak,1766,21
TopcoderTY,7718,27
nybble16,6298,27
infiniterefactor,6562,16
Xopxe,3818,21
ZuTa,4820,6
MrMoe,5413,6
viswabharathi,8269,21
LAWEL,6006,16
Rushel,6476,10
SergeyWeiss,6258,63
wonstin,6405,21
andlima,8502,27
zhaozhiyun,9042,63
innooi,5257,21
klemen,8898,63
chorui12,4362,27
Dimke,2776,21
er2er,5641,27
Michael.Karn.Ivanov,8136,64
codezilla,7690,10
okostya,6201,21
nitrkz,9398,27
kbavar,4295,10
yongheng5871,6095,63
901001,7040,16
Squarefk,7330,27
kenx,5795,10
MikleB,3331,16
knock.knock,5193,27
oahcil,7262,63
Kyungryeol,4700,10
lmy,4912,21
MedvDanil,8541,27
w10d,8376,63
humblefool,9076,39
VorobeY1326,6454,27
Guru991,4901,27
carpenter.bee,2875,21
mikhailOK,5204,100
sachin.maheshwari,9774,10
swong,7062,16
EvanBenn,4276,6
Steven.Huang,4523,6
barryd,7732,21
Alias,9189,100
RealityBreaker,8556,27
JimmyGNU,5626,27
wooshmi,6675,27
JAINVAIBHAV98,5276,21
joy32812,9678,63
Tamirri,4610,21
numa,9089,27
YerzhanU,9628,63
aniruddhaT,6922,10
Armavica,3647,6
johnathan79717,9217,57
mengpq,4620,16
ckkao,6537,10
Yao,9131,27
tame,8807,27
almaz,6793,63
chaws,7521,10
shrikantp,7069,21
olalia,2597,21
bmerry,3881,100
FlyingAnt,6356,27
michael.egorov,9591,21
fmm,8524,64
Sanik,3977,10
Seph,4694,6
bigzero0,9411,16
