user_id,avg_memory,wall_clock,system_time,blanks,compiler_version,language,cloc,nbr_file_in,compiled,swap_main_memory,avg_RAM,exit_code,comments,nbr_file_out,nbr_page_faults,exe_size,max_RAM,user_time
SaraGuru,0,0.00,0.00,0,-,C++,21,0,0,0,0,0,0,0,0,9976,2580,0.00
Scharrels,0,0.05,0.00,5,-,Java,44,0,0,0,0,1,0,64,0,1948,21688,0.05
Scintillo,0,0.00,0.00,7,-,C++,25,0,0,0,0,0,0,0,0,9952,2492,0.00
Scooby,0,0.06,0.00,16,-,Java,35,0,0,0,0,1,15,64,0,1246,21396,0.04
ScottyP,0,0.00,0.00,21,2.7,Python,32,0,0,0,0,2,1,0,0,-,6060,0.00
Seph,0,0.06,0.02,17,-,Java,25,0,0,0,0,1,0,64,0,1106,21584,0.03
SerLis,0,0.00,0.00,6,-,C++,25,0,0,0,0,134,0,0,0,10048,2588,0.00
SerVasilich,-,-,-,4,-,C++,16,-,1,-,-,-1,0,-,-,-,-,-
SergGr,0,0.00,0.00,12,2.7,Python,54,0,0,0,0,2,9,0,0,-,6200,0.00
SergeyLazarev,0,0.10,0.01,7,-,Java,33,0,0,0,0,0,5,72,0,1294,29516,0.08
SergeyMiller,0,0.00,0.00,4,-,C++,22,0,0,0,0,136,0,0,0,10512,2336,0.00
Sethera,0,0.01,0.00,7,2.7,Python,15,0,0,0,0,0,1,0,0,-,6464,0.00
SevagD,0,0.00,0.00,9,-,C++,27,0,0,0,0,0,0,0,0,11136,2484,0.00
SeyedParsa,0,0.00,0.00,7,-,C++,33,0,0,0,0,0,1,0,0,11624,2484,0.00
Sh4rK,0,0.00,0.00,3,3.5,Python,10,0,0,0,0,2,0,0,0,-,7196,0.00
Shakib,0,0.00,0.00,21,-,C++,62,0,0,0,0,136,8,0,0,8712,2240,0.00
ShalinShah28,0,0.00,0.00,1,-,C++,38,0,0,0,0,0,0,0,0,12096,2476,0.00
Shangke7788,0,0.00,0.00,2,-,C++,25,0,0,0,0,0,2,0,0,9512,2520,0.00
Sharknevercries,-,-,-,0,-,C++,15,-,1,-,-,-1,0,-,-,-,-,-
Shaunak,0,0.00,0.00,0,-,C,17,0,0,0,0,127,0,0,0,7032,1428,0.00
Shcherbina,0,0.00,0.00,4,-,C++,44,0,0,0,0,0,1,0,0,10112,2444,0.00
Sheikh,0,0.00,0.00,9,-,C++,34,0,0,0,0,0,1,0,0,11024,2468,0.00
Shermal,-,-,-,25,-,C++,56,-,1,-,-,-1,5,-,-,-,-,-
ShiningSnow,0,0.00,0.00,1,-,C++,26,0,0,0,0,0,0,1328,0,10032,2540,0.00
Shiplu,0,0.00,0.00,1,-,C++,62,0,0,0,0,0,2,0,0,10008,2536,0.00
Shivamd,0,0.00,0.00,15,-,C++,22,0,0,0,0,0,2,0,0,11072,2480,0.00
Shiveagit,0,0.00,0.00,6,2.7,Python,13,8,0,0,0,0,1,0,0,-,6844,0.00
Shulik,0,0.00,0.00,5,-,C++,16,0,0,0,0,0,0,0,0,7216,2372,0.00
Sibi,0,0.00,0.00,8,2.7,Python,20,0,0,0,0,0,0,0,0,-,6380,0.00
SilenceWalker,0,0.45,0.00,7,-,C++,83,0,0,0,0,0,1,0,0,46920,3928,0.44
Silhouettes,0,0.04,0.00,38,-,Java,191,0,0,0,0,1,5,64,0,1172,21184,0.04
Siliam,0,0.00,0.00,5,2.7,Python,18,0,0,0,0,2,1,0,0,-,6164,0.00
SkatingFish,0,0.00,0.00,7,-,C++,33,0,0,0,0,0,7,0,0,10400,2624,0.00
Skywave,0,0.00,0.00,8,2.7,Python,16,0,0,0,0,2,0,0,0,-,6132,0.00
Slimper,0,0.00,0.00,11,-,C++,41,0,0,0,0,0,2,0,0,10448,2324,0.00
Slonny,0,0.00,0.00,3,2.7,Python,5,8,0,0,0,0,0,0,0,-,6468,0.00
SmallPawn,0,0.04,0.00,11,-,Java,54,0,0,0,0,1,26,64,0,2216,21316,0.04
Smam,0,0.00,0.00,5,2.7,Python,15,8,0,0,0,0,0,0,0,-,6608,0.00
SmartSchizo,0,0.00,0.00,3,-,C++,23,0,0,0,0,0,1,0,0,7512,2452,0.00
SmileyFace,0,0.00,0.00,4,-,C++,18,0,0,0,0,0,0,0,0,9744,2528,0.00
Smylic,0,0.00,0.00,5,-,C++,14,0,0,0,0,0,0,0,0,9912,2624,0.00
Snipx,0,0.00,0.00,10,-,C++,32,0,0,0,0,0,1,0,0,10792,2520,0.00
SnowFire,0,0.00,0.00,12,-,C++,38,0,0,0,0,0,0,0,0,8888,2608,0.00
Sohieb,0,0.00,0.00,13,-,C++,65,0,0,0,0,0,10,0,0,10072,2564,0.00
Solice,0,0.06,0.01,3,-,Java,27,0,0,0,0,1,0,64,0,1465,21584,0.04
SoonChunMun,0,0.00,0.00,4,-,C++,16,0,0,0,0,0,0,0,0,9816,2644,0.00
SoroushE,0,0.00,0.00,2,-,C++,23,0,0,0,0,0,0,0,0,9912,2588,0.00
Sosunser,0,0.00,0.00,2,-,C++,18,0,0,0,0,0,0,0,0,8696,2444,0.00
SoulSilver,0,0.00,0.00,5,-,C++,28,0,0,0,0,136,0,0,0,9544,2244,0.00
SouthRa,0,0.00,0.00,1,-,C++,13,0,0,0,0,0,1,0,0,7616,2132,0.00
SovietUnion,0,0.00,0.00,0,-,C++,15,0,0,0,0,0,0,0,0,7816,2120,0.00
Spara,0,0.00,0.00,6,2.7,Python,12,0,0,0,0,2,0,0,0,-,6124,0.00
Spect506,0,0.00,0.00,0,-,C++,23,0,0,0,0,0,0,0,0,7776,2212,0.00
